"Product ID","Product Name","Category","Subcategory","Brand","MRP / Original Price (Rs)","Discounted Selling Price (Rs)","Unit / Pack Size","Stock Quantity","Barcode / SKU (Enter Your Real Barcode Here)","Image URL","Description","Shop Name","Shop ID","Trending","Status"
"3f9f37ea-0f68-4efd-8cf0-b4e2865594e2","Dettol Original Disinfectant Multi-Use Skin & Surface Wipes 40 pcs","Bath & Body","Wellness & Health","","149","141","40 Pieces","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/main-01.jpg.44c088b83b.jpg","Dettol - Dettol Original Disinfectant Multi-Use Skin & Surface Wipes 40 pcs. Authentic quality fast delivery via SwiftMart. Net Quantity: 40 Pieces.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"60291c16-7cd5-4a94-9ff6-d6c27a25b13a","Dettol Skin & Surface Wipes 80 pcs","Bath & Body","Wellness & Health","","239","227","80 Pieces","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/80countpackof1wetwipes80count-01.jpg.185173a6a3.jpg","Dettol - Dettol Skin & Surface Wipes 80 pcs. Authentic quality fast delivery via SwiftMart. Net Quantity: 80 Pieces.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"d453aae0-67bb-4800-93c6-7f12c84795ed","Eno Orange Flavour Fruit Salt 100 g","Pharmacy & Wellness","Wellness & Health","","185","175","100 g","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004904934591.jpg.c622740746.jpg","Eno - Eno Orange Flavour Fruit Salt 100 g. Authentic quality fast delivery via SwiftMart. Net Quantity: 100 g.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"93a45119-24d6-4f62-ac41-08b407b7744e","Friends Easy Adult Diapers (L) 10 count (38 - 60 inch)","Pharmacy & Wellness","Wellness & Health","","600","360","10 Pieces","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004914879401.jpg.a4da2ee9e5.jpg","Friends - Friends Easy Adult Diapers (L) 10 count (38 - 60 inch). Authentic quality fast delivery via SwiftMart. Net Quantity: 10 Pieces.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"0d9b2325-94eb-42d2-8082-fa50f1f80a25","Himalaya Turmeric Foot Care Cream 50 g","Pharmacy & Wellness","Wellness & Health","","131","124","50 g","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/himalaya-turmeric-foot-care-cream-50-g-0-20220120.jpg.845c20dc1e.jpg","himalaya - Himalaya Turmeric Foot Care Cream 50 g. Authentic quality fast delivery via SwiftMart. Net Quantity: 50 g.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"c534bf6f-54ad-42ac-ba11-332f44090b9e","Moov Cool Spray 35 g","Pharmacy & Wellness","Wellness & Health","","168","160","35 g","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004943368191.jpg.c703218f24.jpg","Moov - Moov Cool Spray 35 g. Authentic quality fast delivery via SwiftMart. Net Quantity: 35 g.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"b1d34912-d84c-456f-91a7-90e609412fde","Relispray Pain Relief Spray 135 g","Pharmacy & Wellness","Wellness & Health","","468","418","135 g","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/relispray-pain-relief-spray-135-g-0-20201120.jpg.87a90a3d31.jpg","relispray - Relispray Pain Relief Spray 135 g. Authentic quality fast delivery via SwiftMart. Net Quantity: 135 g.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"4c2985d4-6122-4b35-8c59-18358ced42d4","Zandu Cough Syrup 100 ml","Pharmacy & Wellness","Wellness & Health","","125","110","100 ml","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004928483061.jpg.abd0bf7680.jpg","Zandu - Zandu Cough Syrup 100 ml. Authentic quality fast delivery via SwiftMart. Net Quantity: 100 ml.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"9ee16ad2-179e-444c-a88d-374583470b6d","Zandu Karela Jamun Health Juice 500 ml","Pharmacy & Wellness","Wellness & Health","","164","126","500 ml","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004919614631.jpg.cb6e6faf7f.jpg","Zandu - Zandu Karela Jamun Health Juice 500 ml. Authentic quality fast delivery via SwiftMart. Net Quantity: 500 ml.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"87f07153-818c-4513-b649-df005d4ba75e","Bic Cello Colour Up Celebration Kit - Design / Colour may vary","Stationery & Crafts","Stationery","","149","138","1 Pieces","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/cello-colour-up-celebration-kit-0-20210519.jpg.b820c42a34.jpg","Bic Cello - Bic Cello Colour Up Celebration Kit - Design / Colour may vary. Authentic quality fast delivery via SwiftMart. Net Quantity: 1 Pieces.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"eaa4a810-7084-48d3-ad73-62fc5714fafc","classmate note book 160 pages","Stationery & Crafts","","","65","60","1 unit","10","","","","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","pending"
"35573506-0d2c-44a3-bccd-b8fde360c356","Babylo Baby Wipes 30 pcs","baby-care","Baby Care","","120","60","30 Pieces","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004943959971.jpg.169a3a87a5.jpg","BABYLO - Babylo Baby Wipes 30 pcs. Authentic quality fast delivery via SwiftMart. Net Quantity: 30 Pieces.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"798a4a36-8a7e-4f97-8684-7d1a22c63222","Bumtum Premium Ultrasoft Daiper Pants (L) 62 Count (9-14 kg)","baby-care","Baby Care","","1217","730","62 Pieces","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004936608001.jpg.bb05aec02b.jpg","BUMTUM - Bumtum Premium Ultrasoft Daiper Pants (L) 62 Count (9-14 kg). Authentic quality fast delivery via SwiftMart. Net Quantity: 62 Pieces.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"86532426-6187-444a-b48f-b25ce9b6864c","Bumtum Premium Ultrasoft Daiper Pants (M) 72 count (7-12 kg)","baby-care","Baby Care","","1217","730","72 Pieces","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004936608011.jpg.b802f97544.jpg","BUMTUM - Bumtum Premium Ultrasoft Daiper Pants (M) 72 count (7-12 kg). Authentic quality fast delivery via SwiftMart. Net Quantity: 72 Pieces.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
"86110f82-fa35-4191-b7bc-c6264dfc1f65","Bumtum Premium Ultrasoft Daiper Pants (S) 78 count (4-8 kg)","baby-care","Baby Care","","1299","753","78 Pieces","100","","https://cdn1.jiomartjcp.com/v2/catalog-cloud/jiomar/original/images/othe/egurhk/.j/pg/0000000004936607991.jpg.f20dafc2cf.jpg","BUMTUM - Bumtum Premium Ultrasoft Daiper Pants (S) 78 count (4-8 kg). Authentic quality fast delivery via SwiftMart. Net Quantity: 78 Pieces.","SwiftMart Shop","1a828c48-5fb9-47f3-b87e-c3588d888fed","NO","active"
